Блок,Поле,Тип,Обязательное,Подсказка
1. Общие данные компании,Имя,Строка,Да,Контактное лицо
1. Общие данные компании,Должность,Строка,Да,Роль в компании
1. Общие данные компании,Телефон,Телефон,Да,Основной номер
1. Общие данные компании,Email,Email,Да,Для связи и отчетов
1. Общие данные компании,Название компании,Строка,Да,Полное название
1. Общие данные компании,Юр. форма / ИНН,Строка,Нет,При необходимости
1. Общие данные компании,Сайт компании,URL,Нет,Если есть
2. Профиль бизнеса,Отрасль,Список (множественный),Да,"Розница, B2B, услуги, IT, производство и т.п."
2. Профиль бизнеса,Количество сотрудников,Число,Да,Общее количество
2. Профиль бизнеса,Сколько будет работать в Bitrix24,Число,Да,Пользователи CRM/портала
2. Профиль бизнеса,Регионы работы,Строка,Да,Города/страны
2. Профиль бизнеса,Основные цели внедрения,Список (множественный),Да,"Продажи, автоматизация, контроль, сервис, маркетинг, учет и др."
2. Профиль бизнеса,Горизонт планирования,Список,Нет,"3–6 мес, 6–12 мес, >1 года"
"3. Воронки, направления и финцентры",Сколько направлений бизнеса/продуктов,Число,Да,"Розница, опт, сервис и т.п."
"3. Воронки, направления и финцентры",Опишите эти направления,Текст,Да,Краткое описание по каждому
"3. Воронки, направления и финцентры",Нужны ли отдельные воронки под каждое направление,Список,Да,Одна / несколько / нужен совет
"3. Воронки, направления и финцентры",Есть ли разные процессы продажи по направлениям,Да/Нет,Да,"Разный цикл, этапы, отделы"
"3. Воронки, направления и финцентры",Нужно ли разделить сделки по центрам фин. учета,Список,Да,Один центр; по направлениям; по юрлицам/филиалам; другое
"3. Воронки, направления и финцентры",Какие центры фин. учета выделяете,Текст,Нет,"Филиалы, юрлица, направления, проекты"
"3. Воронки, направления и финцентры",Важно ли видеть P&L по направлениям/финцентрам,Да/Нет,Нет,Прибыльность по каждому
"3. Воронки, направления и финцентры",Есть ли сейчас раздельный фин. учет по направлениям,Список,Нет,"В 1С, в Excel, не ведем, другое"
"3. Воронки, направления и финцентры",Какие отчеты по направлениям/воронкам нужны,Текст,Да,"Выручка, маржа, конверсия и т.п."
